Total A and B	2010 week:Ê1	2010 week:Ê2	2010 week:Ê3	2010 week:Ê4	2010 week:Ê5	2010 week:Ê6	2010 week:Ê7	2010 week:Ê8	2010 week:Ê9	2010 week:Ê10	2010 week:Ê11	2010 week:Ê12	2010 week:Ê13	2010 week:Ê14	2010 week:Ê15	2010 week:Ê16	2010 week:Ê17	2010 week:Ê18	2010 week:Ê19	2010 week:Ê20	2010 week:Ê21	2010 week:Ê22	2010 week:Ê23	2010 week:Ê24	2010 week:Ê25	2010 week:Ê26	2010 week:Ê27	2010 week:Ê28	2010 week:Ê29	2010 week:Ê30	2010 week:Ê31	2010 week:Ê32	2010 week:Ê33	2010 week:Ê34	2010 week:Ê35	2010 week:Ê36	2010 week:Ê37	2010 week:Ê38	2010 week:Ê39	2010 week:Ê40	2010 week:Ê41	2010 week:Ê42	2010 week:Ê43	2010 week:Ê44	2010 week:Ê45	2010 week:Ê46	2010 week:Ê47	2010 week:Ê48	2010 week:Ê49	2010 week:Ê50	2010 week:Ê51	2010 week:Ê52	2011 week:Ê1	2011 week:Ê2	2011 week:Ê3	2011 week:Ê4	2011 week:Ê5	2011 week:Ê6	2011 week:Ê7	2011 week:Ê8	2011 week:Ê9	2011 week:Ê10	2011 week:Ê11	2011 week:Ê12	2011 week:Ê13	2011 week:Ê14	2011 week:Ê15	2011 week:Ê16	2011 week:Ê17	2011 week:Ê18	2011 week:Ê19	2011 week:Ê20	2011 week:Ê21	2011 week:Ê22	2011 week:Ê23	2011 week:Ê24	2011 week:Ê25	2011 week:Ê26	2011 week:Ê27	2011 week:Ê28	2011 week:Ê29	2011 week:Ê30	2011 week:Ê31	2011 week:Ê32	2011 week:Ê33	2011 week:Ê34	2011 week:Ê35	2011 week:Ê36	2011 week:Ê37	2011 week:Ê38	2011 week:Ê39	2011 week:Ê40	2011 week:Ê41	2011 week:Ê42	2011 week:Ê43	2011 week:Ê44	2011 week:Ê45	2011 week:Ê46	2011 week:Ê47	2011 week:Ê48	2011 week:Ê49	2011 week:Ê50	2011 week:Ê51	2011 week:Ê52	2012 week:Ê1	2012 week:Ê2	2012 week:Ê3	2012 week:Ê4	2012 week:Ê5	2012 week:Ê6	2012 week:Ê7	2012 week:Ê8	2012 week:Ê9	2012 week:Ê10	2012 week:Ê11	2012 week:Ê12	2012 week:Ê13	2012 week:Ê14	2012 week:Ê15	2012 week:Ê16	2012 week:Ê17	2012 week:Ê18	2012 week:Ê19	2012 week:Ê20	2012 week:Ê21	2012 week:Ê22	2012 week:Ê23	2012 week:Ê24	2012 week:Ê25	2012 week:Ê26	2012 week:Ê27	2012 week:Ê28	2012 week:Ê29	2012 week:Ê30	2012 week:Ê31	2012 week:Ê32	2012 week:Ê33	2012 week:Ê34	2012 week:Ê35	2012 week:Ê36	2012 week:Ê37	2012 week:Ê38	2012 week:Ê39	2012 week:Ê40	2012 week:Ê41	2012 week:Ê42	2012 week:Ê43	2012 week:Ê44	2012 week:Ê45	2012 week:Ê46	2012 week:Ê47	2012 week:Ê48	2012 week:Ê49	2012 week:Ê50	2012 week:Ê51	2012 week:Ê52	2013 week:Ê1	2013 week:Ê2	2013 week:Ê3	2013 week:Ê4	2013 week:Ê5	2013 week:Ê6	2013 week:Ê7	2013 week:Ê8	2013 week:Ê9	2013 week:Ê10	2013 week:Ê11	2013 week:Ê12	2013 week:Ê13	2013 week:Ê14	2013 week:Ê15	2013 week:Ê16	2013 week:Ê17	2013 week:Ê18	2013 week:Ê19	2013 week:Ê20	2013 week:Ê21	2013 week:Ê22	2013 week:Ê23	2013 week:Ê24	2013 week:Ê25	2013 week:Ê26	2013 week:Ê27	2013 week:Ê28	2013 week:Ê29	2013 week:Ê30	2013 week:Ê31	2013 week:Ê32	2013 week:Ê33	2013 week:Ê34	2013 week:Ê35	2013 week:Ê36	2013 week:Ê37	2013 week:Ê38	2013 week:Ê39	2013 week:Ê40	2013 week:Ê41	2013 week:Ê42	2013 week:Ê43	2013 week:Ê44	2013 week:Ê45	2013 week:Ê46	2013 week:Ê47	2013 week:Ê48	2013 week:Ê49	2013 week:Ê50	2013 week:Ê51	2013 week:Ê52	2014 week:Ê1	2014 week:Ê2	2014 week:Ê3	2014 week:Ê4	2014 week:Ê5	2014 week:Ê6	2014 week:Ê7	2014 week:Ê8	2014 week:Ê9	2014 week:Ê10	2014 week:Ê11	2014 week:Ê12	2014 week:Ê13	2014 week:Ê14	2014 week:Ê15	2014 week:Ê16	2014 week:Ê17	2014 week:Ê18	2014 week:Ê19	2014 week:Ê20	2014 week:Ê21	2014 week:Ê22	2014 week:Ê23	2014 week:Ê24	2014 week:Ê25	2014 week:Ê26	2014 week:Ê27	2014 week:Ê28	2014 week:Ê29	2014 week:Ê30	2014 week:Ê31	2014 week:Ê32	2014 week:Ê33	2014 week:Ê34	2014 week:Ê35	2014 week:Ê36	2014 week:Ê37	2014 week:Ê38	2014 week:Ê39	2014 week:Ê40	2014 week:Ê41	2014 week:Ê42	2014 week:Ê43	2014 week:Ê44	2014 week:Ê45	2014 week:Ê46	2014 week:Ê47	2014 week:Ê48	2014 week:Ê49	2014 week:Ê50	2014 week:Ê51	2014 week:Ê52
Afghanistan	5	13	4	0	0	0	1	1		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0		2	0	0	0	0	0	0	0			0	0	0	0	0	0	0																	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2																														0	0					0																																														0	0	0	0	0	0				0	0	0	0	0	0	0																																				
Albania																																														0	0	0	1	1	1	7	16	29	23	12	28	13	2	1	3	1	1	1	0	3	0																									0	0		0	0	0	0	0	0	0	0	0	0	3	9	20	12	27	13	12	2	7	4	12	0	0	1	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	9	13	13	6	19	11	10	2	2	1	1	0	0																							0			0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	10	13	22	33	39	18	11																												0		0			0				0	1		
Algeria	60	36	1	33	5	9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	3	6	1	4	23	25	26	32	30	21	27	37	65	22	27	26	30	36	56	13	11	8	5	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	2	3	8	3	13	6	11	18	11	16	8	3	6	11	5	3	3	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	7	2	13	27	19	27	20	33	37	32	39	39	32	30	17	4	8	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	4	4	5	6	15	4	18	9	9	10	5	2	7	6	2	0	0	0	0	0	0	3	1	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	4	2	4	5	5	8	5	4	11	7	3	
Angola	0	0	0	0	0	0	0	4	6	0	0		12	7	2	0	1	3		5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																					
Argentina	4	21	6	1	4	0	3	1	0	3	0	9	8	7	9	15	16	18	10	4	5	34	49	50	40	43	40	64	76	75	43	84	71	79	52	40	32	37	64	108	279	280	89	59	25	32	30	39	20	20	16	1	10	13	8	11	4	4	9	3	5	2	0	0	0	1	1	0	0	4	9	11	19	29	46	56	72	64	131	200	209	168	116	126	125	114	137	110	106	98	57	37	10	17	7	5	2	3	2	0	3	2	0	0	0	1	1	1	1	1	1	3	7	0	2	0	1	0	1	2	1	0	1	5	4	5	8	10	12	11	18	39	34	66	78	92	155	193	239	278	280	266	231	196	138	147	119	121	78	64	28	42	25	23	5	5	8	4	6	5	8	24	9	10	19	4	7	8	6	6	4	6	9	7	20	15	57	126	260	649	559	815	794	627	560	483	349	259	184	165	184	163	114	82	57	59	39	21	10	18	3	7	6	7	2	0	2	1	0	0	4	0	0	1	1	3	0	0	0	2	1	2	1	2	3	1	2	9	4	11	28	30	43	119	241	192	265	200	233	147	174	128	126	93	59	44	69	33	27	9	15	3	1	2	1	1	1			
Armenia																																								0				0	0	5	0	0	0	0	0	1	0	3	1	1	3	1	2	3	4	6	5	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	7	8	3	4	1	2	2	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		12	2	0	3	5	1	1	4	0	0	0	0	0	0	0	0	0	0																															
Australia	2	1	1	0	1	1	0	4	3	1	1	2	0	0	4	2	6	1	3	4	4	3	1	5	12	18	14	15	15	31	39	44	60	64	78	77	56	105	92	97	52	50	54	47	29	14	23	19	20	23	29	25	21	18	22	9	16	19	22	35	23	34	18	12	17	7	10	9	4	7	2	5	6	2	5	10	29	23	38	63	76	90	91	132	107	134	119	130	113	114	106	77	67	33	13	17	20	22	19	19	16	7	3	29	7	5	21	11	5	8	12	13	19	14	31	21	22	13	15	20	17	24	19	27	38	41	74	118	125	254	354	439	391	433	435	388	385	287	250	139	109	72	32	24	17	15	7	2	13	11	2	4	7	2	5	1	8	13	17	15	13	18	17	10	16	15	21	27	10	8	5	4	3	1	4	7	10	5	9	7	5	10	29	36	68	45	81	104	99	128	159	116	140	125	125	73	82	53	42	47	32	25	14	32	17	31	8	13	21	23	25	26	19	31	26	16	33	21	21	17	16	21	19	17	8	9	16	19	19	14	14	19	23	51	91	125	184	188	217	277	268	320	271	217	187	150	110	72	58	29	28	24	25	26	8	6	12	10		
Austria									1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	9	12	40	92	108	176	148	89	75	56	38	35	14	15	10	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	4	1	10	23	59	91	119	130	114	78	53	42	19	13	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3	6	7	6	16	42	77	120	172	151	141	168	144	126	77	49	22	32	14	6	2	2	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	5	14	22	28	55	56	50	88	80	78	54	43	18	10	4	4	3	1																				0	0	1	4	0	0	0	0	0	1	7		
Azerbaijan																																								0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0	0	0	1	0	0	0	2	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	2	0	1	11	2		0	0	0	14	1	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	2	17	0	5	2	2	0	0	0	0	0	0	0																0	0	0	2	0	4	9	2	1	2		
Bahrain																																																																																			1	4	0	1	0	0	0	1	0	0	1	1	0	0	0	0	2	3	2	4	1	2	0	1	1	2	7	1	4	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	2	1	6	1	2	6	2	1	5	5	7	4	3	0	5	8	3	5	7	10	5	1	1	1	3	0	3	4	0	1	1	3	1	0	0	2	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	2	1	12	1	3	1	0	4	1	2	1	0	0	0	0	2	3	3	2	1	2	0	1	2	2	0	1	5	15	4	6	5	3	5	1	0	1	1	1	2	0	0	0	1	0	1	0	0	0	0	0	1	2	1	0	4	5	3	6	6	5	
